date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2018-03-21,5.94,6.22,5.89,5.89,65756.04,-0.08,-1.34,5.912,6.03,5.766,49310.14,80434.19,57537.3
2018-03-20,5.82,5.98,5.97,5.75,46560.37,0.11,1.88,5.916,6.05,5.739,46593.6,86735.2,54859.65
2018-03-19,5.84,5.89,5.86,5.72,37842.97,-0.05,-0.85,5.934,6.007,5.704,49131.34,88174.4,53111.71
2018-03-16,5.89,6.0,5.91,5.83,35035.33,-0.02,-0.34,5.998,5.958,5.674,59114.59,86863.6,51751.81
2018-03-15,5.89,6.05,5.93,5.8,61356.0,0.02,0.34,6.058,5.915,5.639,81724.78,87264.36,50865.84
2018-03-14,6.01,6.07,5.91,5.88,52173.34,-0.15,-2.48,6.148,5.868,5.607,111558.24,83135.0,48326.49
2018-03-13,6.16,6.16,6.06,6.05,59249.07,-0.12,-1.94,6.184,5.819,5.575,126876.79,79301.42,46340.47
2018-03-12,6.14,6.23,6.18,6.13,87759.2,-0.03,-0.48,6.08,5.754,5.533,127217.45,75026.66,44224.56
2018-03-09,6.16,6.34,6.21,6.03,148086.31,-0.17,-2.67,5.918,5.681,5.505,114612.61,68014.02,40350.84
2018-03-08,6.0,6.68,6.38,5.94,210523.27,0.29,4.76,5.772,5.6,5.476,92803.94,54413.56,34057.73
2018-03-07,5.46,6.09,6.09,5.46,128766.12,0.55,9.93,5.588,5.501,5.436,54711.75,34640.41,25019.99
2018-03-06,5.39,5.58,5.54,5.33,60952.36,0.17,3.17,5.454,5.427,5.424,31726.04,22984.1,19607.18
2018-03-05,5.42,5.47,5.37,5.34,24735.0,-0.11,-2.01,5.428,5.401,5.445,22835.87,18049.02,17693.98
2018-03-02,5.45,5.68,5.48,5.37,39042.96,0.02,0.37,5.444,5.39,5.478,21415.43,16640.02,17127.38
2018-03-01,5.4,5.48,5.46,5.36,20062.32,0.04,0.74,5.428,5.363,5.509,16023.17,14467.32,16015.88
2018-02-28,5.4,5.43,5.42,5.33,13837.57,0.01,0.18,5.414,5.345,5.541,14569.07,13517.99,16434.81
2018-02-27,5.44,5.45,5.41,5.35,16501.52,-0.04,-0.73,5.4,5.331,5.574,14242.16,13379.52,16279.98
