,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
0,300730.SZ,20180427,44.12,45.05,41.68,41.73,44.7,-2.97,-6.64,56087.13,240015.694
1,300730.SZ,20180426,47.1,48.83,44.44,44.7,47.4,-2.7,-5.7,68035.97,317882.227
2,300730.SZ,20180425,45.28,48.88,45.17,47.4,46.32,1.08,2.33,97312.83,460720.0
3,300730.SZ,20180424,43.09,47.69,41.0,46.32,43.97,2.35,5.34,94609.26,419616.06
4,300730.SZ,20180423,43.61,45.5,43.05,43.97,41.36,2.61,6.31,79635.79,355154.957
5,300730.SZ,20180420,43.2,44.49,41.36,41.36,45.96,-4.6,-10.01,60228.87,256842.671
6,300730.SZ,20180419,44.12,47.05,43.4,45.96,44.24,1.72,3.89,77324.98,350788.333
7,300730.SZ,20180418,43.74,44.5,40.2,44.24,43.3,0.94,2.17,47466.2,202379.63
8,300730.SZ,20180417,45.98,46.28,42.86,43.3,45.15,-1.85,-4.1,45315.28,200913.515
9,300730.SZ,20180416,42.64,45.37,42.64,45.15,43.59,1.56,3.58,51773.85,230670.334
10,300730.SZ,20180413,44.3,45.44,43.12,43.59,43.77,-0.18,-0.41,38734.91,172009.073
11,300730.SZ,20180412,45.22,46.27,43.0,43.77,45.9,-2.13,-4.64,53789.49,240329.41
12,300730.SZ,20180411,45.12,47.01,44.49,45.9,45.12,0.78,1.73,62561.12,285551.911
13,300730.SZ,20180410,46.6,46.79,43.6,45.12,48.44,-3.32,-6.85,80037.43,361230.202
14,300730.SZ,20180409,46.76,48.98,44.61,48.44,46.95,1.49,3.17,62155.94,296086.287
15,300730.SZ,20180404,49.01,49.67,46.7,46.95,48.42,-1.47,-3.04,65878.08,316775.203
16,300730.SZ,20180403,47.7,49.78,46.87,48.42,50.9,-2.48,-4.87,81676.48,393945.314
17,300730.SZ,20180402,53.8,54.0,48.8,50.9,50.85,0.05,0.1,148115.25,760498.263
18,300730.SZ,20180330,46.1,50.85,46.1,50.85,46.23,4.62,9.99,137682.23,685855.481
19,300730.SZ,20180329,47.8,49.6,44.38,46.23,48.79,-2.56,-5.25,123817.54,577153.217
20,300730.SZ,20180328,43.35,48.79,43.25,48.79,44.35,4.44,10.01,148825.74,699854.471
21,300730.SZ,20180327,41.6,46.39,41.52,44.35,42.17,2.18,5.17,121195.37,539940.859
22,300730.SZ,20180326,37.65,43.58,35.66,42.17,39.62,2.55,6.44,93196.35,372719.286
23,300730.SZ,20180323,42.6,43.36,39.62,39.62,44.02,-4.4,-10.0,103809.2,432522.195
24,300730.SZ,20180322,40.0,44.02,38.9,44.02,40.02,4.0,10.0,96604.56,410318.407
25,300730.SZ,20180321,44.0,44.53,40.0,40.02,43.13,-3.11,-7.21,107422.09,454036.351
26,300730.SZ,20180320,38.85,43.13,38.01,43.13,39.21,3.92,10.0,86341.84,347830.339
27,300730.SZ,20180319,37.68,39.86,36.7,39.21,38.4,0.81,2.11,73318.08,283450.146
28,300730.SZ,20180316,38.65,39.63,38.3,38.4,38.16,0.24,0.63,69840.44,271712.668
29,300730.SZ,20180315,39.19,40.08,37.67,38.16,41.85,-3.69,-8.82,94635.57,365048.677
30,300730.SZ,20180314,42.5,45.3,41.6,41.85,43.79,-1.94,-4.43,102894.77,446328.92
31,300730.SZ,20180313,45.88,46.99,42.95,43.79,44.97,-1.18,-2.62,142322.81,642473.586
32,300730.SZ,20180312,44.97,44.97,43.51,44.97,40.88,4.09,10.0,59764.69,268670.882
33,300730.SZ,20180309,40.88,40.88,40.88,40.88,37.16,3.72,10.01,10215.24,41759.901
34,300730.SZ,20180308,34.01,37.16,34.01,37.16,33.78,3.38,10.01,41199.76,150303.911
35,300730.SZ,20180307,33.47,34.45,32.96,33.78,33.0,0.78,2.36,47654.88,160341.688
36,300730.SZ,20180306,33.51,35.35,32.7,33.0,33.6,-0.6,-1.79,61870.01,210253.931
37,300730.SZ,20180305,32.96,33.93,32.66,33.6,32.6,1.0,3.07,45418.01,151297.62
38,300730.SZ,20180302,32.41,33.4,31.9,32.6,33.95,-1.35,-3.98,58490.4,190915.704
39,300730.SZ,20180301,32.0,34.87,31.53,33.95,31.96,1.99,6.23,79088.0,264537.546
40,300730.SZ,20180228,32.6,33.0,31.3,31.96,33.25,-1.29,-3.88,60022.05,193084.217
41,300730.SZ,20180227,30.06,33.25,29.68,33.25,30.23,3.02,9.99,60745.79,190583.891
42,300730.SZ,20180226,30.14,30.95,29.55,30.23,29.26,0.97,3.32,52477.02,158825.7
43,300730.SZ,20180223,27.99,29.8,27.95,29.26,28.12,1.14,4.05,41558.1,119097.867
44,300730.SZ,20180222,27.69,28.4,27.2,28.12,27.08,1.04,3.84,25893.65,72198.17
45,300730.SZ,20180214,27.98,28.6,26.72,27.08,28.45,-1.37,-4.82,30805.45,85421.337
46,300730.SZ,20180213,28.15,30.4,27.8,28.45,28.42,0.03,0.11,43984.57,126924.621
47,300730.SZ,20180212,27.9,29.03,27.8,28.42,27.45,0.97,3.53,33479.73,95519.224
48,300730.SZ,20180209,27.08,28.19,26.43,27.45,28.25,-0.8,-2.83,37046.27,101118.23
49,300730.SZ,20180208,27.64,28.92,27.62,28.25,28.01,0.24,0.86,41596.47,118032.816
50,300730.SZ,20180207,27.4,29.1,26.34,28.01,26.49,1.52,5.74,59496.73,165165.509
51,300730.SZ,20180206,28.0,28.52,26.38,26.49,28.82,-2.33,-8.08,43886.45,119979.429
52,300730.SZ,20180205,29.88,30.5,28.22,28.82,30.98,-2.16,-6.97,40938.65,121043.838
53,300730.SZ,20180202,32.36,32.72,30.57,30.98,32.36,-1.38,-4.26,42079.72,133237.33
54,300730.SZ,20180201,33.21,34.27,31.9,32.36,34.08,-1.72,-5.05,47137.02,156580.306
55,300730.SZ,20180131,36.8,36.8,34.08,34.08,37.87,-3.79,-10.01,71949.8,252747.614
56,300730.SZ,20180130,40.0,40.38,37.78,37.87,40.07,-2.2,-5.49,57709.13,224831.576
57,300730.SZ,20180129,38.31,40.55,37.3,40.07,38.94,1.13,2.9,80436.13,313453.505
58,300730.SZ,20180126,38.31,41.3,38.31,38.94,40.57,-1.63,-4.02,89428.28,352051.79
59,300730.SZ,20180125,36.21,40.57,36.21,40.57,36.88,3.69,10.01,118211.81,468880.783
60,300730.SZ,20180124,35.6,38.7,35.51,36.88,36.0,0.88,2.44,65248.46,242618.673
61,300730.SZ,20180123,35.5,36.49,34.79,36.0,34.83,1.17,3.36,51943.98,185183.805
62,300730.SZ,20180122,36.68,37.38,34.05,34.83,37.76,-2.93,-7.76,62360.6,220906.048
63,300730.SZ,20180119,36.4,39.5,36.21,37.76,37.2,0.56,1.51,62722.34,240117.104
64,300730.SZ,20180118,38.85,38.86,37.2,37.2,39.2,-2.0,-5.1,58866.41,223352.798
65,300730.SZ,20180117,38.1,40.0,37.1,39.2,38.64,0.56,1.45,74798.72,289060.453
66,300730.SZ,20180116,38.0,39.68,37.68,38.64,38.15,0.49,1.28,71087.9,276621.17
67,300730.SZ,20180115,39.45,40.38,38.15,38.15,42.39,-4.24,-10.0,89651.25,347236.527
68,300730.SZ,20180112,45.53,47.9,42.3,42.39,47.0,-4.61,-9.81,120872.93,539141.62
69,300730.SZ,20180111,46.39,49.25,44.18,47.0,48.99,-1.99,-4.06,122998.21,577917.06
70,300730.SZ,20180110,44.69,48.99,43.53,48.99,44.54,4.45,9.99,148927.45,696472.687
71,300730.SZ,20180109,43.12,45.88,42.6,44.54,45.23,-0.69,-1.53,101608.4,445799.428
72,300730.SZ,20180108,48.9,50.81,44.56,45.23,46.19,-0.96,-2.08,147351.42,702837.77
73,300730.SZ,20180105,42.88,46.19,42.8,46.19,41.99,4.2,10.0,88383.02,400794.835
74,300730.SZ,20180104,41.21,43.4,40.47,41.99,44.68,-2.69,-6.02,120154.61,501934.681
75,300730.SZ,20180103,47.0,48.5,44.67,44.68,45.71,-1.03,-2.25,164093.14,765169.292
76,300730.SZ,20180102,45.71,45.71,45.71,45.71,41.55,4.16,10.01,13740.84,62809.379
