,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
0,300730.SZ,20180404,49.01,49.67,46.7,46.95,48.42,-1.47,-3.04,65878.08,316775.203
1,300730.SZ,20180403,47.7,49.78,46.87,48.42,50.9,-2.48,-4.87,81676.48,393945.314
2,300730.SZ,20180402,53.8,54.0,48.8,50.9,50.85,0.05,0.1,148115.25,760498.263
3,300730.SZ,20180330,46.1,50.85,46.1,50.85,46.23,4.62,9.99,137682.23,685855.481
4,300730.SZ,20180329,47.8,49.6,44.38,46.23,48.79,-2.56,-5.25,123817.54,577153.217
5,300730.SZ,20180328,43.35,48.79,43.25,48.79,44.35,4.44,10.01,148825.74,699854.471
6,300730.SZ,20180327,41.6,46.39,41.52,44.35,42.17,2.18,5.17,121195.37,539940.859
7,300730.SZ,20180326,37.65,43.58,35.66,42.17,39.62,2.55,6.44,93196.35,372719.286
8,300730.SZ,20180323,42.6,43.36,39.62,39.62,44.02,-4.4,-10.0,103809.2,432522.195
9,300730.SZ,20180322,40.0,44.02,38.9,44.02,40.02,4.0,10.0,96604.56,410318.407
