,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
0,600519.SH,20180427,685.25,688.36,655.0,662.53,678.23,-15.7,-2.31,57915.21,3866680.412
1,600519.SH,20180426,692.0,692.28,673.0,678.23,690.97,-12.74,-1.84,35047.9,2378744.475
2,600519.SH,20180425,689.0,692.0,683.02,690.97,689.88,1.09,0.16,25252.22,1738767.067
3,600519.SH,20180424,676.0,693.5,675.0,689.88,674.01,15.87,2.35,47282.56,3252280.969
4,600519.SH,20180423,666.01,680.33,666.01,674.01,670.26,3.75,0.56,32659.2,2196761.047
5,600519.SH,20180420,681.0,694.0,668.23,670.26,679.96,-9.7,-1.43,41511.68,2831559.751
6,600519.SH,20180419,659.85,680.0,656.66,679.96,655.64,24.32,3.71,44207.57,2976468.492
7,600519.SH,20180418,671.0,671.0,645.0,655.64,666.2,-10.56,-1.59,62616.6,4104175.827
8,600519.SH,20180417,685.0,685.38,665.6,666.2,681.38,-15.18,-2.23,35172.76,2377407.817
9,600519.SH,20180416,680.58,686.85,677.0,681.38,686.86,-5.48,-0.8,32939.67,2241463.093
10,600519.SH,20180413,698.5,701.0,685.08,686.86,694.2,-7.34,-1.06,27549.52,1904051.062
11,600519.SH,20180412,704.0,706.88,692.22,694.2,705.36,-11.16,-1.58,30713.61,2139139.504
12,600519.SH,20180411,710.0,714.78,703.02,705.36,708.02,-2.66,-0.38,25723.18,1822237.882
13,600519.SH,20180410,704.8,708.5,698.46,708.02,698.3,9.72,1.39,32043.25,2252069.676
14,600519.SH,20180409,697.1,705.43,690.15,698.3,694.01,4.29,0.62,30833.05,2149178.951
15,600519.SH,20180404,682.0,700.43,680.38,694.01,677.91,16.1,2.37,56891.31,3948712.791
16,600519.SH,20180403,678.0,687.0,675.39,677.91,680.06,-2.15,-0.32,40235.58,2737509.485
17,600519.SH,20180402,680.0,691.0,674.11,680.06,683.62,-3.56,-0.52,32039.08,2185060.765
18,600519.SH,20180330,686.0,693.5,679.88,683.62,689.1,-5.48,-0.8,36540.28,2502696.336
19,600519.SH,20180329,682.2,697.85,658.41,689.1,682.05,7.05,1.03,79081.96,5362890.034
20,600519.SH,20180328,699.97,703.0,669.0,682.05,714.74,-32.69,-4.57,113539.72,7786098.263
21,600519.SH,20180327,723.0,725.88,704.0,714.74,713.49,1.25,0.18,47548.44,3399900.239
22,600519.SH,20180326,708.0,715.06,701.88,713.49,711.06,2.43,0.34,46256.11,3276880.07
23,600519.SH,20180323,701.0,723.49,700.08,711.06,726.08,-15.02,-2.07,52546.77,3727044.98
24,600519.SH,20180322,744.0,748.0,724.01,726.08,742.0,-15.92,-2.15,37486.97,2748721.669
25,600519.SH,20180321,750.11,753.11,740.0,742.0,747.73,-5.73,-0.77,26742.71,1996584.261
26,600519.SH,20180320,750.0,752.0,740.0,747.73,753.48,-5.75,-0.76,28877.2,2154897.794
27,600519.SH,20180319,743.97,753.99,739.0,753.48,739.85,13.63,1.84,38666.58,2897348.542
28,600519.SH,20180316,747.6,753.98,738.88,739.85,746.47,-6.62,-0.89,35855.52,2676682.524
29,600519.SH,20180315,728.02,747.0,728.02,746.47,726.88,19.59,2.7,56148.79,4161645.76
30,600519.SH,20180314,709.67,728.08,707.22,726.88,710.35,16.53,2.33,37355.76,2683830.11
31,600519.SH,20180313,723.0,726.6,710.0,710.35,723.95,-13.6,-1.88,38577.09,2764426.996
32,600519.SH,20180312,729.55,733.92,722.77,723.95,728.2,-4.25,-0.58,39888.41,2900950.557
33,600519.SH,20180309,727.55,732.57,723.5,728.2,722.76,5.44,0.75,30171.0,2199081.672
34,600519.SH,20180308,714.0,724.0,708.0,722.76,710.04,12.72,1.79,35349.3,2540452.0
35,600519.SH,20180307,715.0,724.0,708.99,710.04,718.26,-8.22,-1.14,34595.94,2480929.043
36,600519.SH,20180306,725.0,727.6,697.13,718.26,720.11,-1.85,-0.26,64570.36,4581658.583
37,600519.SH,20180305,738.18,742.0,717.03,720.11,736.41,-16.3,-2.21,37234.7,2703926.955
38,600519.SH,20180302,738.0,743.56,730.0,736.41,741.97,-5.56,-0.75,25991.9,1912613.83
39,600519.SH,20180301,728.0,746.85,723.77,741.97,725.62,16.35,2.25,44794.65,3303604.159
40,600519.SH,20180228,732.0,742.3,719.0,725.62,737.98,-12.36,-1.67,48330.67,3522004.686
41,600519.SH,20180227,749.0,756.0,737.22,737.98,743.51,-5.53,-0.74,42601.54,3181778.842
42,600519.SH,20180226,746.88,752.05,733.02,743.51,742.48,1.03,0.14,43658.24,3243216.345
43,600519.SH,20180223,747.0,756.56,737.0,742.48,742.45,0.03,0.0,38158.77,2844936.758
44,600519.SH,20180222,727.3,744.0,723.24,742.45,718.45,24.0,3.34,50764.69,3717469.267
45,600519.SH,20180214,720.0,720.0,712.22,718.45,711.98,6.47,0.91,30652.6,2198728.707
46,600519.SH,20180213,705.02,714.82,704.5,711.98,697.48,14.5,2.08,53389.18,3793782.378
