,ts_code,chairman,manager,secretary,reg_capital,setup_date,province
0,605318.SH,沈正华,沈正华,王勤峰,12917.1152,20070326,浙江
1,688090.SH,孙志强,孙志强,郑德伦,6736.0588,20120808,广东
2,300703.SZ,任召国,任召国,邓建军,18289.28,20010614,浙江
3,002887.SZ,卢云慧,祁永,冯佳,31200.0,19981126,天津
4,300879.SZ,叶晓波,叶晓波,吴军,16000.0,20060217,浙江
5,300841.SZ,王清瀚,王清瀚,唐名太,6000.0,20040402,四川
6,300787.SZ,周洪亮,周洪亮,韩双,12732.0,20090715,江西
7,002927.SZ,黄正乾,黄正乾,余辉,22368.97,20081107,贵州
8,300696.SZ,范庆新,杨有新,陈苗,17877.0,20040301,四川
9,688050.SH,解江冰,解江冰,王韶华,10513.9272,20100421,北京
10,603823.SH,陈立荣,陈立荣,王迪明,31500.0,19950811,浙江
11,002960.SZ,蔡为民,卢文浩,张黔山,24621.0,20010615,河北
12,300742.SZ,李占江,李占江,钟孟光,7849.857,20120419,江苏
13,603439.SH,张海,张海,张千帆,40732.2216,19950922,贵州
14,688526.SH,陈焕春,陈慕琳,陈慕琳,46500.0,20010111,湖北
15,603458.SH,漆贵荣,漆贵荣,黄国建,24165.7815,20100430,贵州
16,300902.SZ,洪伟艺,洪伟艺,连剑生,9598.5,20080110,福建
17,300679.SZ,陈育宣,陈育宣,聂成文,28080.0,20061120,广东
18,002977.SZ,楼继勇,陈镭,王艳,7150.0,20050317,四川
19,002952.SZ,贾继涛,贾继涛,边瑞群,16434.0,20120709,辽宁
20,688068.SH,林长青,林长青,石永沾,6219.6341,20050623,北京
21,300853.SZ,陈如申,黎勇跃,蔡禄,8162.8,20020905,浙江
22,601568.SH,刘国强,刘延财,刘建国,361111.1112,20030506,陕西
23,605399.SH,丁建峰,丁冰,梁秋鸿,18400.0,20060929,江西
24,002938.SZ,沈庆芳,陈章尧,周红,231143.0816,19990429,广东
25,688010.SH,何文波,何文波,黄健,15358.1943,20040203,福建
26,688218.SH,朱振友,朱振友,王庆,11734.0,20111226,江苏
27,688556.SH,张顼,张秀涛,尚华,16185.14,20061020,山东
28,002983.SZ,彭友,彭友,唐先胜,14168.0,20120515,安徽
29,688378.SH,轩景泉,轩景泉,王艳丽,7313.67,20050610,吉林
30,688108.SH,孙箭华,孙箭华,黄凯,41000.0,20070921,天津
31,688129.SH,朱忠敏,朱忠敏,苏爽,9000.0,20050420,上海
32,300597.SZ,林佳云,金谊晶,周伟,24000.0,19850410,吉林
33,605100.SH,徐华东,徐华东,王宏霞,8670.0,20040408,山东
34,603203.SH,戚国强,戚国强,苗小鸣,15653.3787,20060628,江苏
35,300839.SZ,王律,王律,尤丹红,10400.0,20051012,浙江
36,300700.SZ,段志明,段志勇,周家华,8240.5236,20090408,湖南
37,300685.SZ,LI-MOU ZHENG,LI-MOU ZHENG,罗捷敏,22194.225,20080221,福建
38,002975.SZ,王兆春,陈均,张洪强,13893.34,20050530,广东
39,002061.SZ,邵文年,董星明,邹宏,137563.8998,19981123,浙江
40,601099.SH,李长伟,李长伟,唐卫华,681631.637,20040106,云南
41,603323.SH,魏礼亚,庄颖杰,孟庆华,180306.7709,20040825,江苏
42,300789.SZ,周艳,周艳,魏益忠,4598.2759,20101105,四川
43,002935.SZ,张建军,刘江,陈静,20800.65,20040104,四川
44,601916.SH,沈仁康,徐仁艳,刘龙,2126869.6778,19930416,浙江
45,688100.SH,吉喆,李鸿,钟喜玉,50000.0,20040508,湖南
46,601808.SH,齐美胜,齐美胜,吴艳艳,477159.2,20011225,天津
47,601066.SH,王常青,李格平,王广学,764638.5238,20051102,北京
48,601108.SH,陆建强,阮琪,申建新,358900.0,20030611,浙江
49,688198.SH,金磊,金磊,程琪,9600.0,20050711,北京
50,601375.SH,菅明军,常军胜,朱启本,464288.47,20021108,河南
51,300719.SZ,赵子安,赵子安,杜筱晨,25424.525,20011203,北京
52,603139.SH,王延岭,王延岭,杨瑾,9988.0,20091224,陕西
53,688551.SH,傅仕涛,蒋佳平,葛彭胜,8000.0,20110603,安徽
54,300741.SZ,夏利群,袁肖琴,胡伟,61588.0,19960627,西藏
55,601702.SH,陈国桢,高勇进,张凌燕,99853.06,20080710,上海
56,688528.SH,邵泽华,邵泽华,李勇,16800.0,20011230,四川
57,688330.SH,章辉,冷春田,沈骁虓,10000.0,20111213,上海
58,688338.SH,吴仕明,吴仕明,张嘉翃,8164.8,20030528,北京
59,300818.SZ,郑昊,程胜,王磊,7000.0,20051014,江西
60,688123.SH,陈作涛,张建臣,袁崇伟,12084.1867,20091113,上海
61,603319.SH,许仲秋,刘亚奇,陈湘军,10490.155,19940704,湖南
