,close_000017,close_000017_AFSA_GA_RBF,close_000017_AFSA_RBF,close_000017_GSA_RBF,close_000017_RBF,close_000017_ARIMA,close_000017_LSTM,close_600519,close_600519_AFSA_GA_RBF,close_600519_AFSA_RBF,close_600519_GSA_RBF,close_600519_RBF,close_600519_ARIMA,close_600519_LSTM,close_300730,close_300730_AFSA_GA_RBF,close_300730_AFSA_RBF,close_300730_GSA_RBF,close_300730_RBF,close_300730_ARIMA,close_300730_LSTM,close_603991,close_603991_AFSA_GA_RBF,close_603991_AFSA_RBF,close_603991_GSA_RBF,close_603991_RBF,close_603991_ARIMA,close_603991_LSTM
2018/3/22,5.99,5.8763,5.8561,5.7874,5.748,5.987,5.9847,670.26,670.0841,670.0824,670.32,670.4515,670.0993,670.1672,41.36,41.2362,41.4135,41.5487,41.4604,41.3692,41.3131,25.99,25.9346,26.0018,25.9085,26.1256,25.8695,25.9855
2018/3/23,5.7,5.6454,5.5953,5.6751,5.6059,5.6013,5.6296,679.96,679.8051,680.0313,680.0535,680.1116,680.0958,679.8571,45.96,46.1494,45.8824,45.9083,45.8854,45.805,45.786,27.09,27.0986,27.1214,26.9899,27.2285,27.0607,27.1873
2018/3/26,5.56,5.6456,5.5456,5.6634,5.5354,5.6156,5.5584,655.64,655.5176,655.7512,655.4508,655.475,655.7481,655.5877,44.24,44.2188,44.2719,44.4181,44.2035,44.2013,44.1849,27.69,27.5358,27.6725,27.6786,27.7721,27.7556,27.5943
2018/3/27,5.63,5.6367,5.6926,5.6354,5.6065,5.516,5.5839,666.2,666.1374,666.2135,666.1235,666.2957,666.2754,666.0864,43.3,43.2443,43.4453,43.1944,43.1931,43.1409,43.3668,26.7,26.6789,26.8069,26.7322,26.5865,26.8553,26.5284
2018/3/28,5.52,5.5234,5.5494,5.5038,5.5242,5.4445,5.537,681.38,681.2595,681.5438,681.3187,681.4733,681.3954,681.4127,45.15,45.2369,45.2606,45.2672,45.2372,45.3379,45.065,27.39,27.23,27.5602,27.4562,27.343,27.2179,27.2583
2018/3/29,5.59,5.5964,5.5743,5.5064,5.5864,5.4866,5.6073,686.86,686.7862,686.744,686.744,686.6723,687.0304,686.9812,43.59,43.5202,43.487,43.4093,43.7596,43.6211,43.4539,26.48,26.6767,26.5558,26.65,26.5246,26.4525,26.6439
2018/3/30,5.59,5.5941,5.5574,5.5762,5.6497,5.5793,5.6701,694.2,694.389,694.0164,694.0334,694.3117,694.0494,694.2635,43.77,43.83,43.6956,43.7028,43.6984,43.6203,43.6093,26.98,27.0884,27.0406,26.8215,26.7955,27.0536,27.1488
2018/4/2,5.55,5.5557,5.5456,5.5645,5.5585,5.5273,5.4369,705.36,705.5425,705.4377,705.1691,705.4576,705.4552,705.1844,45.9,45.8636,45.7557,45.9377,45.9963,46.0488,45.7769,27.2,27.3899,27.3305,27.046,27.1783,27.0797,27.326
2018/4/3,5.52,5.5249,5.5549,5.5234,5.4983,5.5677,5.6748,708.02,707.972,707.9186,707.8521,708.1518,707.8341,708.0651,45.12,45.0328,44.9378,45.073,45.0632,45.2217,45.2919,25.45,25.2717,25.5462,25.6329,25.5024,25.4868,25.4252
2018/4/4,5.61,5.6321,5.6671,5.7063,5.6228,5.5636,5.587,698.3,698.3521,698.2918,698.1117,698.2106,698.4169,698.4196,48.44,48.3162,48.2545,48.5851,48.5237,48.597,48.519,25.42,25.3394,25.5956,25.34,25.2245,25.3281,25.4584
2018/4/9,5.54,5.5302,5.5429,5.5269,5.5481,5.5639,5.5596,694.01,694.2095,694.1384,694.204,693.8679,693.9974,694.1495,46.95,47.0143,46.8315,46.7796,46.8349,46.8024,47.1191,25.05,24.898,24.9331,25.1007,25.1485,25.0526,24.9435
2018/4/10,5.58,5.3201,5.8992,5.7093,5.8994,5.8467,5.8812,677.91,677.8498,677.9919,677.9417,677.943,677.8567,677.9076,48.42,48.4166,48.3308,48.3047,48.4118,48.3037,48.5131,24.74,24.9286,24.8558,24.7066,24.5767,24.7191,24.8132
2018/4/11,5.61,5.6196,5.6204,5.7025,5.6911,5.7641,5.703,680.06,680.1187,680.23,680.1559,679.9376,680.1025,680.127,50.9,51.0344,50.844,51.0812,50.8441,50.8862,50.9484,25.13,25.0362,25.2909,25.3255,25.2882,25.0519,25.143
2018/4/12,5.51,5.5183,5.5228,5.6447,5.5136,5.5114,5.5171,683.62,683.6147,683.6102,683.7277,683.4209,683.5068,683.7409,50.85,50.7814,50.7775,50.9676,50.7592,50.7495,50.9293,25.24,25.3696,25.0699,25.3179,25.4016,25.165,25.4098
2018/4/13,5.45,5.4319,5.4566,5.4523,5.4627,5.4508,5.4508,689.1,688.9279,688.9296,689.2075,689.0898,689.1337,689.0156,46.23,46.0988,46.3578,46.2921,46.143,46.3231,46.1808,24.55,24.4334,24.6804,24.5305,24.6984,24.5164,24.4079
2018/4/16,5.38,5.4028,5.3818,5.3893,5.3761,5.3891,5.3828,682.05,682.0592,682.1391,681.9027,681.8577,681.941,682.2084,48.79,48.6752,48.772,48.7115,48.6396,48.864,48.661,24.51,24.5143,24.5736,24.6357,24.3835,24.6751,24.3188
2018/4/17,5.25,5.2637,5.2526,5.2579,5.2602,5.2571,5.2561,714.74,714.5697,714.6205,714.7047,714.6344,714.8877,714.8593,44.35,44.376,44.5111,44.32,44.3503,44.1681,44.5349,23.98,24.0815,24.0503,23.9792,24.0544,24.0524,24.0896
2018/4/18,5.28,5.2772,5.2833,5.2811,5.2774,5.3071,5.2905,713.49,713.6642,713.6591,713.4365,713.6764,713.6077,713.3405,42.17,41.9953,42.1948,42.0147,42.2313,42.0853,42.0808,22.74,22.5466,22.5584,22.6877,22.9033,22.7053,22.8068
2018/4/19,5.27,5.2761,5.2757,5.2894,5.2541,5.3058,5.3084,711.06,711.0837,710.9512,710.9625,711.2501,711.1495,710.8878,39.62,39.7538,39.8021,39.5931,39.7903,39.803,39.5883,22.01,21.9663,22.072,21.8965,21.892,22.1163,22.1269
2018/4/20,5.25,5.2484,5.2558,5.2681,5.2609,5.3161,5.2594,726.08,726.1445,725.8823,726.1437,726.2314,726.0767,726.1551,44.02,44.1933,43.8848,44.1713,44.2044,44.1002,44.1686,24.07,24.0299,24.0361,24.1333,24.1977,24.22,24.0092
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,26.0573,,,,,,,,
