,0,1,2,3
0,6.26,6.31,6.29,6.45
1,6.31,6.29,6.45,6.32
2,6.29,6.45,6.32,6.29
3,6.45,6.32,6.29,6.23
4,6.32,6.29,6.23,6.25
5,6.29,6.23,6.25,6.24
6,6.23,6.25,6.24,6.12
7,6.25,6.24,6.12,6.1
8,6.24,6.12,6.1,6.09
9,6.12,6.1,6.09,6.08
10,6.1,6.09,6.08,6.1
11,6.09,6.08,6.1,6.08
12,6.08,6.1,6.08,6.08
13,6.1,6.08,6.08,6.07
14,6.08,6.08,6.07,6.1
15,6.08,6.07,6.1,6.1
16,6.07,6.1,6.1,6.04
17,6.1,6.1,6.04,5.96
18,6.1,6.04,5.96,5.85
19,6.04,5.96,5.85,5.58
20,5.96,5.85,5.58,5.63
21,5.85,5.58,5.63,5.61
22,5.58,5.63,5.61,5.22
23,5.63,5.61,5.22,5.28
24,5.61,5.22,5.28,5.28
25,5.22,5.28,5.28,5.21
26,5.28,5.28,5.21,5.26
27,5.28,5.21,5.26,5.28
28,5.21,5.26,5.28,5.35
29,5.26,5.28,5.35,5.39
30,5.28,5.35,5.39,5.4
31,5.35,5.39,5.4,5.45
32,5.39,5.4,5.45,5.41
33,5.4,5.45,5.41,5.42
34,5.45,5.41,5.42,5.46
35,5.41,5.42,5.46,5.48
36,5.42,5.46,5.48,5.37
37,5.46,5.48,5.37,5.54
38,5.48,5.37,5.54,6.09
39,5.37,5.54,6.09,6.38
40,5.54,6.09,6.38,6.21
41,6.09,6.38,6.21,6.18
42,6.38,6.21,6.18,6.06
43,6.21,6.18,6.06,5.91
44,6.18,6.06,5.91,5.93
45,6.06,5.91,5.93,5.91
46,5.91,5.93,5.91,5.86
47,5.93,5.91,5.86,5.97
