date,close_000017,close_000017_AFSA_GA_RBF,close_000017_AFSA_RBF,close_000017_GSA_RBF,close_000017_RBF,close_000017_ARIMA,close_000017_LSTM,close_300730,close_300730_AFSA_GA_RBF,close_300730_AFSA_RBF,close_300730_GSA_RBF,close_300730_RBF,close_300730_ARIMA,close_300730_LSTM,close_300144,close_300144_AFSA_GA_RBF,close_300144_AFSA_RBF,close_300144_GSA_RBF,close_300144_RBF,close_300144_ARIMA,close_300144_LSTM,close_002628,close_002628_AFSA_GA_RBF,close_002628_AFSA_RBF,close_002628_GSA_RBF,close_002628_RBF,close_002628_ARIMA,close_002628_LSTM
2018/4/4,5.61,5.6321,5.7063,5.6671,5.6228,5.5636,5.587,27.44,27.5751,27.3471,27.9115,27.4271,27.1934,27.4132,11.16,11.0819,11.2063,11.2078,11.0934,11.3321,11.0956,6.26,6.2392,6.2847,6.2769,6.2597,6.1956,6.2245
2018/4/3,5.52,5.5049,5.5234,5.5549,5.4983,5.5677,5.6748,28.3,28.1829,28.4578,27.9971,28.8027,28.7873,28.5543,11.04,11.1537,11.0849,11.1213,11.1237,11.0542,11.1309,6.18,6.1926,6.1829,6.1759,6.1743,6.1566,6.1525
2018/4/2,5.55,5.5457,5.5645,5.5456,5.5585,5.5273,5.4369,29.76,29.6689,29.7632,29.9422,29.3503,29.4549,29.435,11.31,11.3438,11.4193,11.3802,11.3629,11.0926,11.2962,6.38,6.3483,6.2889,6.3056,6.2258,6.2639,6.3329
2018/3/30,5.59,5.6341,5.5762,5.5574,5.6497,5.5793,5.6701,29.73,29.9051,29.8845,29.5532,29.9041,29.4519,29.5485,11.36,11.2653,11.4692,11.4612,11.4302,11.3496,11.483,6.46,6.4771,6.4529,6.5249,6.4804,6.4481,6.5234
2018/3/29,5.59,5.5764,5.5064,5.5743,5.5864,5.4866,5.6073,27.02,27.3801,26.7804,26.894,27.2312,27.6791,27.3729,11.1,11.1276,11.1814,11.2072,11.2273,11.1861,11.2671,6.17,6.1186,6.1393,6.3003,6.1593,6.2703,6.2374
2018/3/28,5.52,5.5134,5.5038,5.5494,5.5242,5.4445,5.537,28.52,28.5361,28.3637,28.2286,28.271,28.2533,28.5133,10.79,10.75,10.6981,10.7993,10.5309,10.6031,10.6319,6.15,6.1815,6.2217,6.0992,6.2187,6.172,6.1284
2018/3/27,5.63,5.6567,5.6354,5.6926,5.6065,5.516,5.5839,25.91,25.7389,25.6733,25.8742,25.7022,25.6512,25.6442,11.09,11.0102,11.1854,11.1903,11.1482,11.0542,10.9391,6.27,6.2602,6.1513,6.1924,6.3667,6.439,6.2729
2018/3/26,5.56,5.6456,5.6634,5.5466,5.5354,5.6156,5.5584,24.63,24.6596,24.5783,24.7831,24.8961,24.5759,24.5263,10.69,10.5812,10.7629,10.7953,10.5933,10.7781,10.6092,6.26,6.1963,6.2282,6.1829,6.189,6.3309,6.0972
2018/3/23,5.7,5.6454,5.6751,5.5953,5.6059,5.6013,5.6296,23.13,23.0619,23.5595,23.3931,23.2597,23.2125,23.3595,10.42,10.4102,10.3623,10.5291,10.384,10.337,10.3849,6.19,6.1224,6.0979,6.142,6.2769,6.1213,6.1738
2018/3/22,5.99,5.8763,5.7874,5.8561,5.748,5.987,5.9847,25.72,25.6822,25.3043,25.6784,25.9284,25.7618,25.6554,10.69,10.7627,10.5051,10.7918,10.5549,10.529,10.7542,6.54,6.4595,6.4836,6.55028,6.6164,6.6038,6.4819
